trial_number,value,state,duration_seconds,param_n_estimators,param_learning_rate,param_num_leaves,param_max_depth,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_split_gain
26,0.9613034623217923,PRUNED,12.52873,1087,0.01477545039429617,172,10,103,0.7021985595295969,0.6862253841573449,0.002198383633902419,0.00996632236091777,0.042679009119519114
28,0.9597989949748744,PRUNED,4.141481,837,0.059752639249652385,139,4,86,0.7899563517776084,0.716447962914689,0.0007576388998951964,0.00036718123854551576,0.10041025429300637
22,0.9501903553299492,PRUNED,9.423491,1050,0.01038970217861689,158,8,94,0.6502697655332504,0.6103126382189805,0.00010932889088391996,0.0016842186472712489,0.05448328771457152
18,0.9499841722063944,PRUNED,9.687116,925,0.010021548006327584,125,10,120,0.7976726088633679,0.7359209071621682,0.004399291577132083,0.003035917271756461,0.06238913314926804
9,0.9478022776026407,COMPLETE,5.949895,231,0.058451252572625234,198,6,95,0.7468977981821954,0.7613664146909971,0.005130551760589831,0.00012637946338082883,0.02157828539866089
24,0.9402339368690915,PRUNED,6.659133,675,0.011453352943096871,57,9,87,0.7568739837011526,0.6957382641583353,0.00045329204882542043,0.006773111378515267,0.03866117778172283
38,0.9310233160621761,PRUNED,1.534351,748,0.08431665718155346,228,2,33,0.5338329422510866,0.5251483572411283,0.008826763769519741,0.0013532248888546657,0.03212683863325922
59,0.9289652935452481,PRUNED,1.916051,816,0.07114911246114743,246,2,64,0.8615614380406342,0.9193285629676413,0.003771161671242685,0.00015590720217248703,0.03631172039304237
4,0.912552927543878,COMPLETE,6.735128,234,0.016850517723339092,23,11,38,0.831261142176991,0.6558555380447055,0.012030178871154668,0.015375920235481757,0.03697089110510541
37,0.9048953354211307,PRUNED,0.930931,428,0.2970871807107933,205,1,23,0.6152452343149758,0.6544642049612472,0.019782538024844414,0.00038253998921687805,0.015016819295456063
49,0.9026223484215801,PRUNED,0.960319,348,0.09180598438124944,238,2,29,0.8831100166338193,0.6391222416606992,0.19247225008278074,0.00013083424261724395,0.0071497839546973765
27,0.9018691588785047,PRUNED,5.439036,666,0.006912811195691631,63,7,96,0.8451228205537834,0.785209695842029,0.00010890878524106565,0.057349094171375715,0.12004823295027721
3,0.8962130115137336,COMPLETE,18.735697,768,0.0026448980183927102,30,12,117,0.9041986740582306,0.6523068845866853,0.00024586032763280086,0.054567254856014755,0.08803049874792027
7,0.8925162017774108,COMPLETE,23.713326,950,0.0031062960067335336,16,10,88,0.8645035840204937,0.8856351733429728,0.00019777828512462724,0.00271558195528294,0.023173811905025946
10,0.8765914106263792,PRUNED,17.650016,1168,0.0010347984019709355,151,8,13,0.9538323976412588,0.97988537297271,0.00143296980213247,0.6135465318705148,0.19847253309206744
1,0.8756465715295757,COMPLETE,1.226386,122,0.2526878207508456,215,1,30,0.5917022549267169,0.6521211214797689,0.012561043700013555,0.005342937261279773,0.058245828039608386
2,0.8614402257474073,COMPLETE,10.550163,773,0.0022158645374549917,85,4,60,0.8925879806965068,0.5998368910791798,0.011400863701127324,0.0234238498471129,0.009290082543999545
6,0.8578739976821455,COMPLETE,7.748882,527,0.0047007207684461256,214,3,41,0.7713480415791243,0.5704621124873813,0.16172900811143134,0.00019870215385428647,0.19737738732010346
